iso3_country,location,year,month,sector,sub_sector,total_emission
ARG,Buenos Aires,2021,2,Waste,solid-waste-disposal,9210.309211629934
ARG,Buenos Aires,2021,3,Agriculture,crop-residues,0.0
ARG,Buenos Aires,2021,3,Agriculture,cropland-fires,45.06173000000001
ARG,Buenos Aires,2021,3,Agriculture,enteric-fermentation-cattle-operation,7738.012175547386
ARG,Buenos Aires,2021,3,Agriculture,enteric-fermentation-cattle-pasture,16570.257058328163
ARG,Buenos Aires,2021,3,Agriculture,enteric-fermentation-other,1269.4916703143128
ARG,Buenos Aires,2021,3,Agriculture,manure-applied-to-soils,0.0
ARG,Buenos Aires,2021,3,Agriculture,manure-left-on-pasture-cattle,309.4997804921809
ARG,Buenos Aires,2021,3,Agriculture,manure-management-cattle-operation,505.9869274615461
ARG,Buenos Aires,2021,3,Agriculture,manure-management-other,127.33482336403594
ARG,Buenos Aires,2021,3,Agriculture,other-agricultural-soil-emissions,0.0
ARG,Buenos Aires,2021,3,Agriculture,rice-cultivation,3921.900836260716
ARG,Buenos Aires,2021,3,Agriculture,synthetic-fertilizer-application,0.0
ARG,Buenos Aires,2021,3,Buildings (Onsite Fuel Use),non-residential-onsite-fuel-usage,7.361769661843804
ARG,Buenos Aires,2021,3,Buildings (Onsite Fuel Use),other-onsite-fuel-usage,0.0
ARG,Buenos Aires,2021,3,Buildings (Onsite Fuel Use),residential-onsite-fuel-usage,145.10395455340023
ARG,Buenos Aires,2021,3,Forestry & Land Use,forest-land-clearing,0.0
ARG,Buenos Aires,2021,3,Forestry & Land Use,forest-land-degradation,0.0
ARG,Buenos Aires,2021,3,Forestry & Land Use,forest-land-fires,0.0
ARG,Buenos Aires,2021,3,Forestry & Land Use,net-forest-land,0.0
ARG,Buenos Aires,2021,3,Forestry & Land Use,net-shrubgrass,0.0
ARG,Buenos Aires,2021,3,Forestry & Land Use,net-wetland,0.0
ARG,Buenos Aires,2021,3,Forestry & Land Use,removals,0.0
ARG,Buenos Aires,2021,3,Forestry & Land Use,shrubgrass-fires,0.0
ARG,Buenos Aires,2021,3,Forestry & Land Use,wetland-fires,0.0
ARG,Buenos Aires,2021,3,Fossil Fuel Extraction & Mining,bauxite-mining,0.0
ARG,Buenos Aires,2021,3,Fossil Fuel Extraction & Mining,coal-mining,4.293342660304759e-07
ARG,Buenos Aires,2021,3,Fossil Fuel Extraction & Mining,copper-mining,0.0
ARG,Buenos Aires,2021,3,Fossil Fuel Extraction & Mining,iron-mining,0.0
ARG,Buenos Aires,2021,3,Fossil Fuel Extraction & Mining,oil-and-gas-production,0.0
ARG,Buenos Aires,2021,3,Fossil Fuel Extraction & Mining,oil-and-gas-refining,22.085950838212607
ARG,Buenos Aires,2021,3,Fossil Fuel Extraction & Mining,oil-and-gas-transport,0.0
ARG,Buenos Aires,2021,3,Fossil Fuel Extraction & Mining,other-energy-use,56.26828139358091
ARG,Buenos Aires,2021,3,Fossil Fuel Extraction & Mining,other-fossil-fuel-operations,0.0
ARG,Buenos Aires,2021,3,Fossil Fuel Extraction & Mining,other-mining-quarrying,0.0
ARG,Buenos Aires,2021,3,Fossil Fuel Extraction & Mining,other-solid-fuels,44.66382012580312
ARG,Buenos Aires,2021,3,Fossil Fuel Extraction & Mining,rock-quarrying,0.0
ARG,Buenos Aires,2021,3,Fossil Fuel Extraction & Mining,sand-quarrying,0.0
ARG,Buenos Aires,2021,3,Manufacturing & Industry,aluminum,0.0
ARG,Buenos Aires,2021,3,Manufacturing & Industry,cement,0.0
ARG,Buenos Aires,2021,3,Manufacturing & Industry,chemicals,0.0
ARG,Buenos Aires,2021,3,Manufacturing & Industry,fluorinated-gases,0.0
ARG,Buenos Aires,2021,3,Manufacturing & Industry,food-beverage-tobacco,55.15616529628002
ARG,Buenos Aires,2021,3,Manufacturing & Industry,glass,0.0
ARG,Buenos Aires,2021,3,Manufacturing & Industry,iron-and-steel,0.0
ARG,Buenos Aires,2021,3,Manufacturing & Industry,lime,0.0
ARG,Buenos Aires,2021,3,Manufacturing & Industry,other-chemicals,0.0
ARG,Buenos Aires,2021,3,Manufacturing & Industry,other-manufacturing,78.7744527021594
ARG,Buenos Aires,2021,3,Manufacturing & Industry,other-metals,14.18902850307633
ARG,Buenos Aires,2021,3,Manufacturing & Industry,petrochemical-steam-cracking,230.39928033333325
ARG,Buenos Aires,2021,3,Manufacturing & Industry,pulp-and-paper,0.0
ARG,Buenos Aires,2021,3,Manufacturing & Industry,textiles-leather-apparel,38.84610826500665
ARG,Buenos Aires,2021,3,Manufacturing & Industry,wood-and-wood-products,0.2953734632128917
ARG,Buenos Aires,2021,3,Power & Heat,electricity-generation,0.0
ARG,Buenos Aires,2021,3,Power & Heat,heat-plants,0.0
ARG,Buenos Aires,2021,3,Power & Heat,water-reservoirs,7.194204557
ARG,Buenos Aires,2021,3,Transportation,domestic-aviation,0.12551740896955
ARG,Buenos Aires,2021,3,Transportation,domestic-shipping,1.7407371816986292
ARG,Buenos Aires,2021,3,Transportation,international-aviation,0.459651345776683
ARG,Buenos Aires,2021,3,Transportation,international-shipping,1.9329061065576616
ARG,Buenos Aires,2021,3,Transportation,non-broadcasting-vessels,0.0
ARG,Buenos Aires,2021,3,Transportation,other-transport,0.7189281871692982
ARG,Buenos Aires,2021,3,Transportation,railways,0.0
ARG,Buenos Aires,2021,3,Transportation,road-transportation,88.10574145200583
ARG,Buenos Aires,2021,3,Waste,biological-treatment-of-solid-waste-and-biogenic,0.0
ARG,Buenos Aires,2021,3,Waste,domestic-wastewater-treatment-and-discharge,2746.798767664372
ARG,Buenos Aires,2021,3,Waste,incineration-and-open-burning-of-waste,17.05855405645195
ARG,Buenos Aires,2021,3,Waste,industrial-wastewater-treatment-and-discharge,1624.306023169531
ARG,Buenos Aires,2021,3,Waste,solid-waste-disposal,10107.800662883948
ARG,Buenos Aires,2021,4,Agriculture,crop-residues,0.0
ARG,Buenos Aires,2021,4,Agriculture,cropland-fires,69.59839
ARG,Buenos Aires,2021,4,Agriculture,enteric-fermentation-cattle-operation,7960.655540881928
